steam_id,club_name,player_count,total_market_value,total_salaries,avg_market_value,avg_salary,youngest_player,oldest_player,avg_age,youth_players,young_players,prime_players,veteran_players,old_players
134,FC Sochaux,28,177271801,38634000,6331135.75,1379785.7142857143,19,33,24.928571428571427,2,14,6,6,0
97,C.A. Osasuna,28,177194976,40913500,6328392.0,1461196.4285714286,20,36,25.857142857142858,0,15,8,4,1
132,Watford,28,173237376,32494500,6187049.142857143,1160517.857142857,18,42,24.928571428571427,3,14,8,1,2
71,VFL Bochum,27,171143007,38877500,6338629.888888889,1439907.4074074074,19,35,26.11111111111111,2,8,13,4,0
18,Hannover 96,28,170272089,41817000,6081146.035714285,1493464.2857142857,18,36,25.785714285714285,2,11,11,3,1
124,N.E.C. Nijmegen,25,169791736,29836000,6791669.44,1193440.0,18,34,23.0,4,16,3,2,0
9,Rangers,24,169672530,36544000,7069688.75,1522666.6666666667,18,35,24.583333333333332,2,13,6,3,0
112,Sparta Rotterdam,27,169619300,33517000,6282196.296296297,1241370.3703703703,17,35,24.0,4,13,8,2,0
125,Sampdoria,26,168417034,46064500,6477578.230769231,1771711.5384615385,18,39,26.653846153846153,3,8,9,5,1
133,AS Nancy-Lorraine,29,166865517,30240000,5753983.344827586,1042758.6206896552,18,34,24.103448275862068,2,16,9,2,0
120,Reggina,27,166782018,36130000,6177111.777777778,1338148.148148148,18,32,24.555555555555557,4,12,9,2,0
113,D.S. Arminia Bielefeld,27,166175910,44688500,6154663.333333333,1655129.6296296297,18,34,26.62962962962963,2,10,8,7,0
7,VFL Wolfsburg,25,165923006,44805000,6636920.24,1792200.0,21,33,26.4,0,12,9,4,0
29,AZ,28,164380419,34648000,5870729.25,1237428.5714285714,18,33,24.035714285714285,4,14,8,2,0
83,Torino,29,164071816,53789500,5657648.827586207,1854810.3448275863,21,38,29.137931034482758,0,6,14,6,3
135,FC Groningen,26,161882784,36575000,6226260.923076923,1406730.7692307692,18,33,24.692307692307693,6,8,9,3,0
24,Messina,27,161438869,46297000,5979217.37037037,1714703.7037037036,19,35,27.14814814814815,1,7,14,5,0
128,Napoli,26,160824833,38947000,6185570.5,1497961.5384615385,17,33,26.192307692307693,3,7,13,3,0
77,Sheffield United,31,160428941,43791500,5175127.129032258,1412629.0322580645,18,38,27.29032258064516,2,10,10,8,1
16,Vitesse,25,160081321,28554500,6403252.84,1142180.0,18,36,23.52,2,19,3,0,1
76,Sunderland,24,157417983,37076500,6559082.625,1544854.1666666667,18,35,25.125,3,10,6,5,0
130,R.C. Recreativo de Huelva,25,156378368,41905500,6255134.72,1676220.0,19,36,26.32,2,9,10,3,1
50,F.C. Copenhagen,25,155025963,35343500,6201038.52,1413740.0,19,35,24.84,1,15,6,3,0
65,Empoli,28,153754649,39632500,5491237.464285715,1415446.4285714286,17,39,25.892857142857142,3,10,10,4,1
116,FC Lorient,29,153670943,38668500,5298998.0344827585,1333396.551724138,19,35,25.448275862068964,2,13,9,5,0
137,Roda JC,26,153484718,28801000,5903258.384615385,1107730.7692307692,19,35,24.23076923076923,3,13,9,1,0
127,FC Twente,26,151653449,32703000,5832824.961538462,1257807.6923076923,19,36,24.884615384615383,2,13,7,3,1
74,Manchester City,25,150716388,83142000,6028655.52,3325680.0,18,39,27.92,3,6,8,5,3
106,ES Troyes AC,29,150370677,38425000,5185195.75862069,1325000.0,17,34,26.310344827586206,2,11,10,6,0
136,NAC Breda,26,149172810,32331500,5737415.769230769,1243519.2307692308,18,37,25.423076923076923,5,9,8,2,2
81,Livorno,28,146903411,54270000,5246550.392857143,1938214.2857142857,19,37,28.285714285714285,1,7,10,9,1
114,Atalanta,28,146599184,37918500,5235685.142857143,1354232.142857143,18,33,26.178571428571427,3,9,10,6,0
115,Valenciennes FC,29,143714671,34551500,4955678.310344827,1191431.0344827587,18,34,26.06896551724138,3,11,10,5,0
126,Cagliari,25,141945147,35057500,5677805.88,1402300.0,20,36,25.92,0,13,7,4,1
57,Djurgardens IF,26,141769049,29494000,5452655.730769231,1134384.6153846155,17,37,25.384615384615383,2,10,11,2,1
95,Siena,27,137535717,50562000,5093915.444444444,1872666.6666666667,19,36,27.62962962962963,1,10,7,8,1
73,Willem II,26,135279932,30953500,5203074.307692308,1190519.2307692308,20,35,24.923076923076923,0,16,8,2,0
140,F.C. Energie Cottbus,26,135088331,32372000,5195705.038461538,1245076.923076923,19,38,26.0,1,11,11,2,1
84,Udinese,25,134413162,89988500,5376526.48,3599540.0,17,33,23.68,2,16,5,2,0
131,Heracles Almelo,25,131948406,28230500,5277936.24,1129220.0,18,36,25.04,2,14,6,2,1
59,ADO Den Haag,24,127227404,25249500,5301141.833333333,1052062.5,19,33,24.5,2,12,9,1,0
129,RKC Waalwijk,27,126915526,34637000,4700575.037037037,1282851.851851852,18,37,26.296296296296298,4,9,5,8,1
86,Rosenborg BK,26,126305805,35614000,4857915.576923077,1369769.2307692308,18,38,27.115384615384617,4,7,7,6,2
75,Levante U.D.,25,126122235,46627500,5044889.4,1865100.0,23,36,29.76,0,2,14,7,2
117,CS Sedan,26,124886663,29974500,4803333.192307692,1152865.3846153845,20,32,25.884615384615383,0,12,11,3,0
51,R. Sociedad,23,124867347,35698500,5429015.0869565215,1552108.6956521738,21,32,25.91304347826087,0,9,10,4,0
94,West Ham United,28,118750897,61323000,4241103.464285715,2190107.1428571427,18,32,24.428571428571427,1,16,9,2,0
122,R. Valladolid,26,117460946,33136500,4517728.692307692,1274480.7692307692,17,40,26.03846153846154,3,9,9,3,2
42,Catania,25,113611066,35623000,4544442.64,1424920.0,18,35,27.6,2,4,12,7,0
62,Olympique Lyonnais,20,112179915,87100000,5608995.75,4355000.0,18,35,25.9,3,8,3,6,0
93,Getafe C.F.,24,110528597,32533000,4605358.208333333,1355541.6666666667,20,34,26.916666666666668,0,8,12,4,0
34,CSKA Moskva,23,106234367,94843500,4618885.521739131,4123630.434782609,20,37,30.434782608695652,0,5,2,15,1
123,C. Gimnastic,25,105682774,27986500,4227310.96,1119460.0,20,35,27.52,0,6,14,5,0
22,Ascoli,24,99325680,31477500,4138570.0,1311562.5,20,36,26.791666666666668,0,11,6,6,1
121,SBV Excelsior,21,41619061,49830500,1981860.0476190476,2372880.9523809524,20,38,27.714285714285715,0,8,6,5,2
141,No Club,1484,3241023,4268358000,2183.9777628032343,2876252.0215633423,15,44,23.785040431266847,553,275,438,173,45
