team_id,club_name,registered_position,position_count,position_market_value,position_salaries
5,Bayern München,7,3,45114922,14189000
5,Bayern München,8,2,26404513,5446500
5,Bayern München,9,4,93817707,21785000
70,Benfica,0,3,10375961,2968500
70,Benfica,10,1,19744747,5561500
70,Benfica,11,1,0,3561500
70,Benfica,12,6,80191918,20926000
70,Benfica,3,4,32423531,7525000
70,Benfica,4,4,35720564,5388000
70,Benfica,5,3,25733288,7148500
70,Benfica,7,2,15274645,2922000
70,Benfica,8,4,48837784,10623000
70,Benfica,9,3,26791619,7111500
104,Besiktas,0,3,7776613,2392500
104,Besiktas,12,5,45847153,7790500
104,Besiktas,3,4,24526737,6233000
104,Besiktas,4,5,35292362,6553000
104,Besiktas,5,3,19167804,7319500
104,Besiktas,8,3,24832511,3740000
104,Besiktas,9,3,38989056,8656000
58,Birmingham City,0,3,9016447,2177500
58,Birmingham City,12,4,70472220,10465500
58,Birmingham City,3,4,19543399,7349500
58,Birmingham City,4,4,23744088,4182500
58,Birmingham City,5,1,6696442,2039500
58,Birmingham City,7,4,22931916,4123000
58,Birmingham City,8,4,33605053,6842000
58,Birmingham City,9,1,21537725,4717500
78,Blackburn Rovers,0,6,19174472,7920000
78,Blackburn Rovers,12,6,62436227,15278500
78,Blackburn Rovers,3,7,31518890,11287000
78,Blackburn Rovers,4,5,29938712,5673000
78,Blackburn Rovers,5,4,16111700,7920500
78,Blackburn Rovers,8,4,48773939,9109000
78,Blackburn Rovers,9,1,14889725,3664500
56,Bolton Wanderers,0,4,9497840,3041500
56,Bolton Wanderers,10,1,3824628,3342500
56,Bolton Wanderers,11,1,37910396,7468000
56,Bolton Wanderers,12,4,45425861,13101000
56,Bolton Wanderers,3,5,31978314,6113500
56,Bolton Wanderers,4,5,35337567,8293000
56,Bolton Wanderers,5,3,20222063,4307500
56,Bolton Wanderers,7,4,27594169,10753500
66,Borussia Dortmund,0,4,9151310,3409500
66,Borussia Dortmund,11,1,14694673,3084500
66,Borussia Dortmund,12,4,41913695,7843500
66,Borussia Dortmund,3,5,35373665,8048000
66,Borussia Dortmund,4,4,32651786,4863500
66,Borussia Dortmund,5,1,10625944,2339000
66,Borussia Dortmund,7,2,27697371,5127500
66,Borussia Dortmund,8,3,43054264,7966500
66,Borussia Dortmund,9,2,38052848,7160500
11,Borussia M.,0,3,5920760,2901500
11,Borussia M.,10,1,7496906,1119500
11,Borussia M.,12,5,54735296,14261500
11,Borussia M.,3,3,15197566,3751000
11,Borussia M.,4,6,44716852,7586000
11,Borussia M.,5,1,6178158,1186500
11,Borussia M.,7,3,29781554,5737500
11,Borussia M.,8,5,50397605,7784500
11,Borussia M.,9,1,19245032,3982000
20,C. Atlético Madrid,0,4,12067647,2727000
20,C. Atlético Madrid,10,2,40673441,10362000
20,C. Atlético Madrid,12,5,105596825,16820500
20,C. Atlético Madrid,3,4,37399280,7721000
20,C. Atlético Madrid,4,4,37640180,8906000
20,C. Atlético Madrid,5,3,20923166,6696000
20,C. Atlético Madrid,8,4,42024735,7171500
20,C. Atlético Madrid,9,2,16264387,2139000
123,C. Gimnastic,0,3,4202691,1501500
123,C. Gimnastic,12,4,28251070,7168500
123,C. Gimnastic,3,4,15967233,3970500
123,C. Gimnastic,4,5,23306263,5436500
123,C. Gimnastic,5,5,13494762,3831000
123,C. Gimnastic,8,3,16620943,5080500
123,C. Gimnastic,9,1,3839812,998000
97,C.A. Osasuna,0,3,3054639,1654500
97,C.A. Osasuna,11,1,9336679,1919000
97,C.A. Osasuna,12,4,33533361,9327500
97,C.A. Osasuna,3,5,32690418,7818000
97,C.A. Osasuna,4,5,29223128,5131500
97,C.A. Osasuna,5,2,8701829,2822000
97,C.A. Osasuna,8,6,33809040,7371500
97,C.A. Osasuna,9,2,26845882,4869500
117,CS Sedan,0,3,4377501,1936000
117,CS Sedan,10,2,18005305,3222500
117,CS Sedan,11,1,6358816,1426500
117,CS Sedan,12,3,15448487,4379500
117,CS Sedan,3,5,27528450,5181500
117,CS Sedan,4,4,16709951,4034500
117,CS Sedan,5,3,16168181,3515500
117,CS Sedan,8,3,12602073,3342500
117,CS Sedan,9,2,7687899,2936000
34,CSKA Moskva,0,3,1491436,12971500
34,CSKA Moskva,10,1,0,4446500
34,CSKA Moskva,11,1,6737958,12349500
34,CSKA Moskva,12,5,21205237,18573000
34,CSKA Moskva,3,4,22057812,11864000
34,CSKA Moskva,4,3,13422834,9448000
34,CSKA Moskva,7,3,20824707,14618500
34,CSKA Moskva,8,3,20494383,10572500
126,Cagliari,0,4,7984561,2626000
126,Cagliari,10,3,29970032,7118000
126,Cagliari,11,1,8416720,2092500
126,Cagliari,12,2,17990329,4657000
126,Cagliari,3,4,16962767,4726500
126,Cagliari,4,4,24623740,4504500
126,Cagliari,5,3,20667087,4489000
126,Cagliari,7,3,13190136,2738500
126,Cagliari,9,1,2139775,2105500
42,Catania,0,3,4344738,1373000
42,Catania,11,1,5495334,1560000
42,Catania,12,4,23056871,7160500
42,Catania,3,4,14312664,5442500
42,Catania,4,4,16223626,4692500
42,Catania,7,6,27528785,9697500
42,Catania,8,1,9648000,2884500
42,Catania,9,2,13001048,2812500
46,Celtic,0,3,12891189,2310000
46,Celtic,10,1,7709839,1639500
46,Celtic,11,1,5376490,2577000
46,Celtic,12,4,47208857,9988500
46,Celtic,3,4,29655331,5178000
46,Celtic,4,5,28245076,7389500
46,Celtic,5,1,695700,2016500
46,Celtic,7,3,43313896,12098000
46,Celtic,8,2,38917842,5116000
46,Celtic,9,2,25796241,8045500
48,Charlton Athletic,0,4,16609601,3191000
48,Charlton Athletic,10,2,29313108,6537000
48,Charlton Athletic,12,4,55669122,11310000
48,Charlton Athletic,3,4,22310478,6171000
48,Charlton Athletic,4,3,13116726,3749500
48,Charlton Athletic,5,2,11061208,2990000
48,Charlton Athletic,7,2,13422838,8315000
48,Charlton Athletic,8,3,24605515,4285500
48,Charlton Athletic,9,2,29791646,6031000
35,Chelsea,0,3,43293139,9050500
35,Chelsea,10,1,10718210,795500
35,Chelsea,11,2,87305782,25957500
35,Chelsea,12,2,43818640,5480000
35,Chelsea,3,5,113998391,26812000
35,Chelsea,4,4,72862478,15751000
35,Chelsea,7,4,111940156,29237500
35,Chelsea,8,2,44958715,11074500
35,Chelsea,9,2,107628748,29863000
87,Chievo Verona,0,4,5724107,2659500
87,Chievo Verona,11,1,15860960,4585500
87,Chievo Verona,12,5,58634613,10544000
87,Chievo Verona,3,5,27284613,8109000
87,Chievo Verona,4,4,19624794,5847500
87,Chievo Verona,5,1,10229224,1423000
87,Chievo Verona,7,5,24564217,8305500
87,Chievo Verona,8,4,31851762,9805000
87,Chievo Verona,9,1,1065021,3885000
4,Club Brugge,0,3,8028692,1468500
4,Club Brugge,12,5,51309584,10889500
4,Club Brugge,3,8,45006209,8190000
4,Club Brugge,4,3,14199389,4213500
4,Club Brugge,5,3,16302611,2896000
4,Club Brugge,6,1,10038746,2268000
4,Club Brugge,7,2,23026755,5023000
4,Club Brugge,8,4,38893486,9115500
4,Club Brugge,9,1,4535848,1278000
113,D.S. Arminia Bielefeld,0,3,5049364,1975500
113,D.S. Arminia Bielefeld,11,1,12045374,6101500
113,D.S. Arminia Bielefeld,12,3,32504927,6626000
113,D.S. Arminia Bielefeld,3,7,31044062,8416000
113,D.S. Arminia Bielefeld,4,4,19918050,6500500
113,D.S. Arminia Bielefeld,5,3,11730172,3206500
113,D.S. Arminia Bielefeld,8,5,45017081,10341500
113,D.S. Arminia Bielefeld,9,1,8866880,1521000
57,Djurgardens IF,0,3,9040687,1931000
57,Djurgardens IF,10,4,31502735,4952500
57,Djurgardens IF,12,3,24065318,4582000
57,Djurgardens IF,3,4,12729511,4095500
57,Djurgardens IF,4,5,20135066,4906000
57,Djurgardens IF,5,2,14594586,2802500
57,Djurgardens IF,7,1,4416463,1019500
57,Djurgardens IF,8,2,8802517,2097000
57,Djurgardens IF,9,2,16482166,3108000
85,Dynamo Kiev,0,3,3669274,2433500
85,Dynamo Kiev,11,2,19440398,6559500
85,Dynamo Kiev,12,5,47421872,9905500
85,Dynamo Kiev,3,6,37418841,11854500
85,Dynamo Kiev,4,5,37115049,7964000
85,Dynamo Kiev,5,2,20790734,2680500
85,Dynamo Kiev,8,5,44257616,7768500
85,Dynamo Kiev,9,3,31219920,12408000
106,ES Troyes AC,0,4,6872306,2256500
106,ES Troyes AC,11,1,1193456,1275500
106,ES Troyes AC,12,5,35038455,7635000
106,ES Troyes AC,3,5,19034733,5287000
106,ES Troyes AC,4,5,23935609,5978000
106,ES Troyes AC,5,2,20543773,2787000
106,ES Troyes AC,8,3,21024058,4980000
106,ES Troyes AC,9,4,22728287,8226000
68,Eintracht Frankfurt,0,5,8582194,3964500
68,Eintracht Frankfurt,10,1,7373797,2032500
68,Eintracht Frankfurt,11,1,6612000,2452000
68,Eintracht Frankfurt,12,4,51224010,13433000
68,Eintracht Frankfurt,3,5,27334305,5634500
68,Eintracht Frankfurt,4,5,32107647,7021500
68,Eintracht Frankfurt,5,2,10902300,2656500
68,Eintracht Frankfurt,8,3,30431386,4970500
68,Eintracht Frankfurt,9,3,25761751,7781500
65,Empoli,0,4,10323045,2827000
65,Empoli,12,6,44102487,10782500
65,Empoli,3,6,27648281,8806500
65,Empoli,4,3,12324424,3577500
65,Empoli,5,1,1112328,1385500
65,Empoli,7,4,28478212,5651000
65,Empoli,8,2,12054266,2591000
65,Empoli,9,2,17711606,4011500
90,Everton,0,4,14984556,3767000
90,Everton,10,1,21579195,6895000
90,Everton,11,1,13239189,1929500
90,Everton,12,4,58292322,11655000
90,Everton,3,5,29476228,8574000
90,Everton,4,5,25325494,7382500
90,Everton,5,1,5325000,1520000
90,Everton,7,2,11864098,3598500
90,Everton,8,1,12776386,3521500
90,Everton,9,1,9455486,1891500
61,F.C. Barcelona,0,3,13201935,3532000
61,F.C. Barcelona,10,1,0,6237500
61,F.C. Barcelona,11,6,282715649,82824000
61,F.C. Barcelona,12,3,106518820,34741000
61,F.C. Barcelona,3,5,116370574,71545500
61,F.C. Barcelona,4,3,58590631,12050000
61,F.C. Barcelona,5,1,44877130,10229000
61,F.C. Barcelona,7,1,52338171,14898500
61,F.C. Barcelona,8,4,16022547,26295500
50,F.C. Copenhagen,0,3,5338650,1695000
50,F.C. Copenhagen,10,2,15436144,5580000
50,F.C. Copenhagen,12,3,24737520,5984000
50,F.C. Copenhagen,3,5,26933814,6858500
50,F.C. Copenhagen,4,4,23767081,3753000
50,F.C. Copenhagen,5,2,12483714,2442000
50,F.C. Copenhagen,7,2,15316547,3164000
50,F.C. Copenhagen,8,2,12891498,2513500
50,F.C. Copenhagen,9,2,18120995,3353500
140,F.C. Energie Cottbus,0,4,10890677,3506000
140,F.C. Energie Cottbus,11,1,4716197,1198000
140,F.C. Energie Cottbus,12,4,16365118,3746500
140,F.C. Energie Cottbus,3,4,18103070,6165000
140,F.C. Energie Cottbus,4,4,21581974,4304000
140,F.C. Energie Cottbus,5,2,9723124,2733000
140,F.C. Energie Cottbus,8,3,18892494,4373000
140,F.C. Energie Cottbus,9,4,34815677,6346500
39,F.C. Nurnberg,0,2,7984663,1489500
39,F.C. Nurnberg,10,2,17232345,2199000
39,F.C. Nurnberg,11,1,13977615,2266500
39,F.C. Nurnberg,12,4,21182080,8245500
39,F.C. Nurnberg,3,7,40914207,7849500
39,F.C. Nurnberg,4,2,12473184,3030000
39,F.C. Nurnberg,5,2,13380529,2908500
39,F.C. Nurnberg,7,2,18306115,4186000
39,F.C. Nurnberg,8,2,13572459,6214000
39,F.C. Nurnberg,9,2,18653832,5632000
110,F.S.V. Mainz 05,0,3,5066563,1953000
110,F.S.V. Mainz 05,11,1,16461896,3838000
110,F.S.V. Mainz 05,12,5,44140461,8251000
110,F.S.V. Mainz 05,3,4,27388827,4534000
110,F.S.V. Mainz 05,4,4,23431112,4798000
110,F.S.V. Mainz 05,5,1,2511548,1422500
110,F.S.V. Mainz 05,7,1,7468186,771000
110,F.S.V. Mainz 05,8,5,37122653,8076500
110,F.S.V. Mainz 05,9,2,17989170,5325500
135,FC Groningen,0,3,5209096,1882500
135,FC Groningen,12,4,26868431,5086500
135,FC Groningen,3,4,25921712,3612500
135,FC Groningen,4,6,30217451,6328500
135,FC Groningen,5,2,15913126,3171000
135,FC Groningen,7,2,13582286,2513000
135,FC Groningen,8,4,30073720,10720000
135,FC Groningen,9,1,14096962,3261000
116,FC Lorient,0,3,7418444,1648000
116,FC Lorient,10,4,23205600,7627000
116,FC Lorient,12,4,27820909,6619000
116,FC Lorient,3,5,28857017,4871500
116,FC Lorient,4,5,24814162,5184500
116,FC Lorient,5,2,9843792,1719000
116,FC Lorient,7,3,18843167,4630500
116,FC Lorient,8,1,8332803,2041500
116,FC Lorient,9,2,4535049,4327500
60,FC Nantes-Atlantique,0,2,5751929,1657500
60,FC Nantes-Atlantique,11,1,8472000,3001000
60,FC Nantes-Atlantique,12,5,56407959,8934500
60,FC Nantes-Atlantique,3,4,27864629,5139500
60,FC Nantes-Atlantique,4,4,21701780,4359500
60,FC Nantes-Atlantique,5,2,19840520,2220000
60,FC Nantes-Atlantique,7,2,19055318,2640000
60,FC Nantes-Atlantique,8,4,60712179,13132000
60,FC Nantes-Atlantique,9,5,52006374,11625000
91,FC Porto,0,2,6500035,1618500
91,FC Porto,10,3,46057951,9371000
91,FC Porto,11,1,8682000,2986000
91,FC Porto,12,5,52533454,11357000
91,FC Porto,3,6,41130798,9615500
91,FC Porto,4,4,35310568,6748500
91,FC Porto,5,1,7593672,2220500
91,FC Porto,7,1,14695509,1885500
91,FC Porto,8,2,18875550,3808000
91,FC Porto,9,2,53757590,6110000
134,FC Sochaux,0,3,8341524,2192000
134,FC Sochaux,12,5,38600207,5630000
134,FC Sochaux,3,1,3931759,1171500
134,FC Sochaux,4,7,37169029,7982000
134,FC Sochaux,5,3,14664813,3752000
134,FC Sochaux,7,1,3991500,1358500
134,FC Sochaux,8,4,23192361,7987000
134,FC Sochaux,9,4,47380608,8561000
127,FC Twente,0,3,6460498,1876500
127,FC Twente,10,6,43315839,9350500
127,FC Twente,12,2,11480349,3668500
127,FC Twente,3,4,24229228,5185500
127,FC Twente,4,4,15743748,4039500
127,FC Twente,7,5,33204075,6043500
127,FC Twente,8,1,7855185,1056500
127,FC Twente,9,1,9364527,1482500
17,FC Utrecht,0,2,5206730,779500
17,FC Utrecht,10,1,8964239,982000
17,FC Utrecht,11,1,13235216,4229500
17,FC Utrecht,12,5,49808024,11563000
17,FC Utrecht,3,5,38347585,9558000
17,FC Utrecht,4,5,31686177,5652500
17,FC Utrecht,7,1,6407710,1491500
17,FC Utrecht,8,3,16942395,4599000
17,FC Utrecht,9,1,9305769,1126500
96,Fenerbahçe,0,2,6302231,1405500
96,Fenerbahçe,12,5,72068013,18313500
96,Fenerbahçe,2,2,24855364,5636000
96,Fenerbahçe,3,3,21540445,4494000
96,Fenerbahçe,4,4,27120359,6078000
96,Fenerbahçe,5,2,17569263,2880500
96,Fenerbahçe,7,1,4784825,1784000
96,Fenerbahçe,8,5,34863195,5910000
96,Fenerbahçe,9,2,20047798,9002500
15,Feyenoord,0,3,3728994,2696500
15,Feyenoord,10,5,49229558,9351500
15,Feyenoord,12,3,22826884,10496500
15,Feyenoord,3,4,33486355,4719000
15,Feyenoord,4,5,29636446,5448000
15,Feyenoord,5,1,1180332,1517000
15,Feyenoord,7,3,46074234,6073000
15,Feyenoord,8,2,15954940,2619500
37,Fiorentina,0,2,6557640,2308000
37,Fiorentina,11,4,68885723,17066500
37,Fiorentina,12,3,31317841,7651000
37,Fiorentina,3,5,38841345,10208000
37,Fiorentina,4,2,17408935,1578000
37,Fiorentina,5,3,30659157,7240000
37,Fiorentina,7,2,11687022,2049000
37,Fiorentina,9,2,25487536,7836000
45,Fulham,0,3,6273081,5970500
45,Fulham,10,2,43809537,9069500
45,Fulham,11,1,9970062,969500
45,Fulham,12,4,38173374,8720000
45,Fulham,3,4,17450825,5986500
45,Fulham,4,5,38299836,8484500
45,Fulham,7,6,38855889,12788000
45,Fulham,9,1,15202500,5207500
30,Galatasaray,0,4,10757620,4020000
30,Galatasaray,11,1,15534721,5798500
30,Galatasaray,12,4,31052784,6752000
30,Galatasaray,3,4,14944901,6227500
30,Galatasaray,4,4,37206409,5473500
30,Galatasaray,5,3,16794129,4512000
30,Galatasaray,7,2,12621901,2204000
30,Galatasaray,8,4,32572098,7324000
30,Galatasaray,9,4,39502615,9213000
93,Getafe C.F.,0,3,6108674,3457500
93,Getafe C.F.,12,4,21284663,6220500
93,Getafe C.F.,3,4,12998464,4412000
93,Getafe C.F.,4,4,19958475,5161000
93,Getafe C.F.,5,3,14959641,4790500
93,Getafe C.F.,8,4,16074630,5052000
93,Getafe C.F.,9,2,19144050,3439500
111,Girondins de Bordeaux,0,3,6709500,1992000
111,Girondins de Bordeaux,12,5,36124959,10120500
111,Girondins de Bordeaux,3,5,36698092,5844000
111,Girondins de Bordeaux,4,3,11718042,2843000
111,Girondins de Bordeaux,5,3,28542448,4640500
111,Girondins de Bordeaux,7,1,7416311,962000
111,Girondins de Bordeaux,8,4,38569190,10619000
111,Girondins de Bordeaux,9,2,17030344,7304500
13,Hamburger S.V.,0,3,10636735,2356500
13,Hamburger S.V.,12,7,81353352,13165000
13,Hamburger S.V.,2,1,21749813,2617000
13,Hamburger S.V.,3,2,10595031,2989500
13,Hamburger S.V.,4,5,54520494,16009000
13,Hamburger S.V.,5,4,45300555,7389000
13,Hamburger S.V.,8,2,15655765,3669500
13,Hamburger S.V.,9,5,146826130,21823500
18,Hannover 96,0,3,7131166,1823500
18,Hannover 96,12,6,42768360,10756500
18,Hannover 96,3,4,18840743,4855000
18,Hannover 96,4,5,28261801,9130000
18,Hannover 96,5,4,28283252,5718000
18,Hannover 96,6,1,10904574,1721000
18,Hannover 96,7,1,4246500,1267000
18,Hannover 96,8,2,13409472,2799000
18,Hannover 96,9,2,16426221,3747000
131,Heracles Almelo,0,3,6160465,1271500
131,Heracles Almelo,10,4,26529384,4992500
131,Heracles Almelo,12,3,16520814,2610000
131,Heracles Almelo,3,4,18252825,3827000
131,Heracles Almelo,4,5,34080921,6257000
131,Heracles Almelo,5,2,3722292,2076500
131,Heracles Almelo,8,4,26681705,7196000
23,Hertha Berliner S.C.,0,3,10542871,2097500
23,Hertha Berliner S.C.,12,5,38207585,8499500
23,Hertha Berliner S.C.,3,5,37740111,9244500
23,Hertha Berliner S.C.,4,4,31520030,4759500
23,Hertha Berliner S.C.,5,2,10091480,2755500
23,Hertha Berliner S.C.,8,5,46474386,9445000
23,Hertha Berliner S.C.,9,2,44013320,8201500
63,Inter,0,2,11025152,9012500
63,Inter,10,1,0,3094000
63,Inter,12,5,210692841,67842500
63,Inter,3,5,79889624,29988000
63,Inter,4,3,26910997,13592500
63,Inter,5,1,24480048,7133500
63,Inter,7,1,20185301,9009500
63,Inter,8,4,77360517,27774000
63,Inter,9,2,40094516,12309500
41,Juventus,0,4,58602274,19489500
41,Juventus,11,2,27940048,15836000
41,Juventus,12,3,102381149,24869000
41,Juventus,3,6,74224347,29689000
41,Juventus,4,2,24983725,10632500
41,Juventus,5,1,14683302,5405500
41,Juventus,7,3,29581317,6636000
41,Juventus,8,3,39549280,17361000
41,Juventus,9,1,8384497,16540500
80,Lazio,0,3,4754111,8483500
80,Lazio,12,5,58354125,15606000
80,Lazio,3,3,15523788,5224500
80,Lazio,4,5,23698524,6301500
80,Lazio,5,3,26088809,5816500
80,Lazio,7,2,14114900,3318500
80,Lazio,8,4,25429083,7067500
80,Lazio,9,1,10873803,2388500
107,Le Mans UC 72,0,3,12370886,2170500
107,Le Mans UC 72,12,5,48240095,7804500
107,Le Mans UC 72,3,5,30756571,4780500
107,Le Mans UC 72,4,4,19924899,4517000
107,Le Mans UC 72,7,2,18521101,2290000
107,Le Mans UC 72,8,3,19424936,3596500
107,Le Mans UC 72,9,3,35073679,6843500
75,Levante U.D.,0,3,2457279,3455000
75,Levante U.D.,10,1,9768476,2370000
75,Levante U.D.,11,1,17215878,5023000
75,Levante U.D.,12,2,5436849,2274500
75,Levante U.D.,3,4,14193149,7538000
75,Levante U.D.,4,4,14845907,7054000
75,Levante U.D.,5,4,17564174,5677000
75,Levante U.D.,7,2,11431214,5150500
75,Levante U.D.,8,3,25081821,6563500
75,Levante U.D.,9,1,8127488,1522000
103,Lille OSC,0,5,10661566,4123500
103,Lille OSC,10,1,7976373,1069500
103,Lille OSC,11,2,20469119,3941000
103,Lille OSC,12,5,47791506,7535000
103,Lille OSC,3,6,30328169,6762500
103,Lille OSC,4,4,25032224,5686000
103,Lille OSC,5,4,42238064,7661500
103,Lille OSC,9,2,13067775,9918000
44,Liverpool,0,2,9355456,1774000
44,Liverpool,10,1,9355926,1490000
44,Liverpool,11,2,46687975,12155500
44,Liverpool,12,4,51124137,15047000
44,Liverpool,3,4,41976157,7222500
44,Liverpool,4,5,35576636,8519000
44,Liverpool,5,2,24975333,5852500
44,Liverpool,7,4,133037815,35821000
44,Liverpool,8,4,63766990,11962000
81,Livorno,0,4,15508696,2907500
81,Livorno,12,3,22281744,5608000
81,Livorno,3,8,23035478,12571000
81,Livorno,4,2,12199867,3176000
81,Livorno,5,2,19050450,4620500
81,Livorno,6,3,14590377,7977000
81,Livorno,7,3,14434200,6432000
81,Livorno,8,2,6767326,6584000
81,Livorno,9,1,19035273,4394000
74,Manchester City,0,2,3852606,5941500
74,Manchester City,10,2,0,5406500
74,Manchester City,12,5,25098410,17957500
74,Manchester City,3,5,34204191,12994500
