overall,id,player_name,position_name,registered_position,age,nationality,height,weight,club_id,attack,defense,balance,stamina,top_speed,acceleration,technique,mentality,team_work,consistency
87,1615,Radzinski,Unknown,11,32,Canada,174,74,14,83,48,78,88,90,88,82,70,72,6
87,1626,Dudek,Unknown,0,33,Poland,188,80,40,30,87,87,65,69,73,62,70,64,5
87,1726,Lua Lua,Unknown,11,25,DR Congo,172,77,26,82,38,74,86,88,90,86,73,63,4
87,2318,Pagliuca,Unknown,0,39,Italy,190,83,74,30,94,89,65,58,66,52,80,80,6
87,2468,Samuel,Unknown,3,28,Argentina,182,83,63,60,93,90,84,80,73,78,81,81,7
87,2564,Di Michele,Unknown,11,30,Italy,171,72,82,80,44,71,87,86,88,83,73,70,5
87,2759,Rosales,Unknown,11,25,Argentina,173,72,14,76,45,76,84,87,86,88,70,68,4
87,3507,Ewerthon,Unknown,11,25,Brazil,175,65,118,80,40,81,80,93,94,83,76,69,6
87,4447,Hierro,Unknown,3,38,Spain,187,84,141,80,88,90,85,76,73,80,91,86,8
87,4504,B. Laudrup,Unknown,12,23,Denmark,186,72,141,87,35,80,77,92,95,90,68,66,6
87,4522,Overmars,Unknown,10,27,Netherlands,175,72,141,82,41,71,71,94,96,78,67,67,5
86,26,Van Buyten,Unknown,3,28,Belgium,197,87,5,65,87,94,80,67,71,70,72,81,6
86,124,Jorgensen,Unknown,9,31,Denmark,178,74,37,79,52,75,88,86,81,88,70,86,6
86,140,R. Ferdinand,Unknown,3,27,England,198,80,33,66,95,89,83,82,81,83,86,82,7
86,144,Lampard,Unknown,7,28,England,183,79,35,84,65,82,97,77,78,85,82,87,7
86,186,Thuram,Unknown,3,34,France,185,78,61,59,94,92,82,83,83,79,80,86,7
86,193,Ribery,Unknown,8,23,France,170,72,64,75,45,74,90,87,88,83,74,79,5
86,197,Landreau,Unknown,0,27,France,183,83,36,40,87,81,60,68,73,50,81,80,6
86,206,Saha,Unknown,12,28,France,183,72,68,85,44,86,83,91,87,84,68,73,6
86,220,Hildebrand,Unknown,0,27,Germany,185,79,49,30,90,85,65,71,73,60,77,86,7
86,228,Odonkor,Unknown,10,22,Germany,172,74,67,76,39,75,80,94,97,75,64,68,5
86,287,Robbie Keane,Unknown,12,26,Ireland,175,64,55,87,33,76,82,88,89,82,87,68,5
86,306,Camoranesi,Unknown,8,30,Italy,174,70,41,81,65,75,90,82,86,88,74,83,6
86,396,Riise,Unknown,4,27,Norway,185,89,41,77,58,82,90,82,84,78,78,75,5
86,444,Deco,Unknown,7,29,Portugal,177,73,89,80,74,80,92,74,78,92,83,92,8
86,458,Boa Morte,Unknown,10,29,Portugal,176,81,45,78,47,81,82,90,88,87,61,62,3
86,599,Casillas,Unknown,0,25,Spain,185,70,54,30,92,80,65,67,70,43,91,75,5
86,601,Puyol,Unknown,3,28,Spain,178,80,61,64,93,87,93,83,88,76,97,87,6
86,606,Xavi,Unknown,7,26,Spain,170,69,61,75,72,72,92,78,77,91,86,94,8
86,609,Villa,Unknown,12,24,Spain,175,69,89,88,39,77,85,87,90,83,75,75,6
86,629,Ljungberg,Unknown,9,29,Sweden,176,75,40,84,63,82,93,88,91,83,88,85,6
86,631,Ibrahimovic,Unknown,11,25,Sweden,192,83,61,90,38,97,86,84,85,95,78,78,6
86,679,Rüstü,Unknown,0,33,Turkey,186,76,41,35,85,83,62,68,76,47,74,71,6
86,847,Okocha,Unknown,9,33,Nigeria,173,70,62,77,47,75,73,83,85,91,69,60,4
86,1014,Ayala,Unknown,3,33,Argentina,177,75,89,62,93,81,81,80,76,75,90,83,6
86,1023,Crespo,Unknown,12,31,Argentina,184,78,63,92,40,88,82,82,83,88,72,86,7
86,1052,Cicinho,Unknown,6,26,Brazil,171,68,54,75,53,75,86,89,85,80,73,78,5
86,1093,Oscar Cordoba,Unknown,0,36,Colombia,185,83,141,45,89,82,61,74,77,68,75,70,7
86,1174,Carini,Unknown,0,26,Uruguay,189,83,63,30,85,85,62,67,73,64,75,70,5
86,1183,Forlán,Unknown,12,27,Uruguay,179,75,89,87,38,79,87,85,88,82,75,75,6
86,1193,Recoba,Unknown,11,30,Uruguay,179,79,61,83,23,70,70,85,87,90,62,58,6
86,1332,Wright,Unknown,12,31,England,178,73,141,95,38,81,80,92,86,83,72,73,6
86,1343,Platini,Unknown,9,29,France,179,73,141,90,32,72,75,82,76,96,78,90,8
86,1347,Blanc,Unknown,2,32,France,192,88,141,71,98,88,80,74,70,77,87,85,6
86,1358,Maier,Unknown,0,30,Germany,183,77,141,30,97,78,60,63,66,45,90,73,5
86,1371,Sammer,Unknown,3,23,Germany,181,75,141,74,91,86,87,76,74,86,86,88,5
86,1374,Schuster,Unknown,9,20,Germany,179,72,141,87,55,81,82,84,83,90,66,88,8
86,1375,Matthaus,Unknown,9,29,Germany,173,72,141,86,65,80,95,77,80,83,97,90,8
86,1376,Rummenigge,Unknown,11,24,Germany,182,79,141,92,40,85,80,90,85,86,78,75,7
86,1379,Voller,Unknown,12,30,Germany,177,71,141,94,46,75,86,85,94,78,87,84,5
86,1380,Klinsmann,Unknown,12,25,Germany,182,73,141,95,42,82,85,85,87,78,88,72,6
86,1403,Vialli,Unknown,12,26,Italy,180,77,141,92,58,83,90,86,88,85,83,73,5
86,1408,Krol,Unknown,2,25,Netherlands,180,73,141,70,95,82,93,90,85,84,85,92,8
86,1434,Burrachaga,Unknown,9,23,Argentina,177,75,141,82,47,79,82,83,80,90,73,82,6
86,1465,Cerezo,Unknown,7,27,Brazil,181,73,141,72,78,79,97,84,85,79,86,88,7
86,1467,Socrates,Unknown,9,28,Brazil,192,79,141,88,63,80,85,86,77,81,90,88,8
86,1471,Bebeto,Unknown,11,28,Brazil,173,68,141,87,43,71,83,90,84,88,70,82,6
86,1483,A. Hleb,Unknown,9,25,Belarus,185,74,40,80,50,74,83,84,92,85,76,74,5
86,1540,Fortune,Unknown,8,29,South Africa,182,74,55,77,52,74,84,88,85,86,63,72,5
86,1590,Van der Meyde,Unknown,10,27,Netherlands,178,77,90,77,45,73,83,86,89,84,71,70,5
86,1715,Luque,Unknown,12,28,Spain,183,80,33,83,48,85,83,86,84,85,74,74,5
86,2626,Mancini,Unknown,8,26,Brazil,183,82,70,80,50,77,88,89,93,86,70,78,5
86,2685,Abbiati,Unknown,0,29,Italy,191,92,83,30,87,91,65,64,68,44,66,67,5
86,2711,De Sanctis,Unknown,0,29,Italy,190,83,38,30,87,88,65,64,66,52,68,66,6
86,2717,Di Natale,Unknown,11,29,Italy,170,73,38,82,40,73,82,89,88,86,76,83,7
86,2944,Alex,Unknown,3,24,Brazil,188,92,8,64,82,91,83,72,71,76,67,70,5
86,3133,Víctor Valdés,Unknown,0,24,Spain,183,78,61,30,86,85,65,71,74,61,73,70,5
86,3141,Giuly,Unknown,11,30,France,164,64,61,81,50,76,87,85,87,84,85,82,6
86,3449,Chevanton,Unknown,12,26,Uruguay,172,72,47,87,34,78,84,86,90,85,66,69,6
86,3475,Vicente,Unknown,8,25,Spain,175,72,89,83,46,75,82,88,90,84,73,74,7
86,3598,Makaay,Unknown,12,31,Netherlands,188,81,121,93,42,83,82,86,83,85,79,75,7
86,3661,Marchionni,Unknown,8,26,Italy,175,66,41,79,46,74,86,87,89,85,76,84,5
86,3691,Miccoli,Unknown,12,27,Italy,168,64,70,83,38,83,85,85,91,86,69,68,4
86,3712,Quaresma,Unknown,10,23,Portugal,173,69,91,78,42,73,81,88,89,84,69,67,4
86,3845,Mondragon,Unknown,0,35,Colombia,189,94,30,35,88,80,65,67,75,55,63,73,6
86,3850,Hasan Sas,Unknown,11,30,Turkey,177,74,30,80,52,78,88,84,87,83,69,71,5
86,4046,Butt,Unknown,0,31,Germany,191,91,25,45,84,91,60,67,79,51,73,78,4
86,4276,Rost,Unknown,0,33,Germany,194,90,14,40,93,86,60,62,69,51,76,76,6
86,4478,Boban,Unknown,9,26,Croatia,183,79,141,86,67,85,84,79,78,90,86,82,5
86,4485,Denis Law,Unknown,11,24,Scotland,175,71,141,97,33,80,86,84,86,86,73,90,7
86,4491,Stojkovic,Unknown,11,28,Serbia and Montenegro,175,73,141,87,52,73,80,81,83,97,84,85,7
86,4495,P. Andersson,Unknown,3,30,Sweden,185,81,141,55,93,93,80,75,73,76,77,83,6
85,56,M. Petrov,Unknown,10,27,Bulgaria,180,77,20,83,42,77,84,88,91,77,74,74,5
85,123,Rommedahl,Unknown,10,28,Denmark,177,70,48,80,45,67,89,89,90,85,72,75,6
85,136,Gronkjær,Unknown,10,29,Denmark,187,76,50,77,52,72,82,90,89,82,66,70,5
85,139,Robinson,Unknown,0,27,England,191,89,53,30,84,89,63,64,68,66,65,70,5
85,157,Jenas,Unknown,7,23,England,180,74,53,75,67,71,88,86,81,85,74,80,6
85,164,Hyypiä,Unknown,3,33,Finland,191,87,63,58,88,90,77,70,72,72,85,84,6
85,185,Barthez,Unknown,0,35,France,183,76,34,40,86,85,65,63,76,60,70,79,6
85,196,Coupet,Unknown,0,33,France,181,80,62,30,88,83,65,67,70,53,80,74,6
85,203,Dhorasoo,Unknown,7,33,France,168,63,34,75,60,71,88,84,83,85,65,89,6
85,205,Govou,Unknown,10,27,France,175,75,128,80,45,76,78,87,88,90,70,75,6
85,207,Trézéguet,Unknown,12,29,France,190,80,41,96,40,85,81,78,78,86,79,76,6
85,301,Nesta,Unknown,3,30,Italy,187,79,38,62,95,84,84,81,80,77,72,90,6
85,367,Babel,Unknown,12,19,Netherlands,185,79,41,73,36,84,76,86,85,86,67,64,3
85,491,Izmailov,Unknown,8,24,Russia,169,70,61,78,47,73,86,85,87,88,68,66,4
85,532,Krstajic,Unknown,3,32,Serbia and Montenegro,191,83,52,60,82,82,88,81,76,69,75,78,5
85,539,Kezman,Unknown,12,27,Serbia and Montenegro,179,72,96,87,32,76,81,87,88,83,75,70,4
85,628,Wilhelmsson,Unknown,8,26,Sweden,177,68,60,76,55,75,86,86,82,86,74,74,5
85,632,Larsson,Unknown,12,35,Sweden,178,75,62,89,51,81,81,80,86,88,86,90,7
85,687,Bastürk,Unknown,9,27,Turkey,168,68,23,79,57,83,88,82,80,85,75,75,8
85,723,Giggs,Unknown,8,32,Wales,180,68,14,84,53,74,82,82,83,87,77,82,7
85,781,Olembé,Unknown,9,25,Cameroon,171,66,64,70,54,66,85,86,90,84,66,66,4
85,792,Kalou,Unknown,11,28,Cote d'Ivoire,182,77,36,80,45,72,81,86,84,88,68,65,5
85,858,Pienaar,Unknown,8,24,South Africa,176,66,63,74,64,76,86,84,85,87,67,80,6
85,945,Márquez,Unknown,3,27,Mexico,182,74,55,66,87,84,81,73,74,75,77,73,6
85,1015,Heinze,Unknown,3,28,Argentina,178,71,89,68,85,83,86,78,77,76,78,75,5
85,1022,Saviola,Unknown,12,24,Argentina,168,60,55,87,42,80,80,86,90,85,65,73,6
85,1026,G. Milito,Unknown,3,26,Argentina,176,70,118,62,86,81,83,81,77,77,77,78,6
85,1034,Tevez,Unknown,11,22,Argentina,170,73,101,84,43,89,85,82,84,87,75,76,6
85,1128,Villar,Unknown,0,29,Paraguay,180,79,141,30,84,81,65,70,72,47,70,79,5
85,1275,Park Ji Sung,Unknown,8,25,South Korea,175,72,33,77,68,82,95,84,86,82,80,88,6
85,1289,Schwarzer,Unknown,0,34,Australia,196,85,3,40,85,88,63,65,73,46,71,72,5
85,1320,Bobby Charlton,Unknown,9,29,England,174,72,141,92,57,74,98,86,87,75,90,85,6
85,1333,Lineker,Unknown,12,25,England,175,74,141,94,30,70,88,83,92,86,85,75,6
85,1334,Keegan,Unknown,12,27,England,169,68,141,96,35,86,87,82,90,90,82,85,7
85,1341,Tigana,Unknown,7,29,France,168,62,141,73,82,66,97,86,84,85,74,86,7
85,1356,Papin,Unknown,12,22,France,176,72,141,95,38,72,80,83,78,91,76,84,6
85,1360,Schwarzenbeck,Unknown,3,26,Germany,183,78,141,68,95,84,80,77,76,72,80,80,6
85,1363,Hoenes,Unknown,9,22,Germany,181,76,141,81,60,78,87,88,86,84,74,88,7
85,1392,Zenga,Unknown,0,30,Italy,188,84,141,30,95,83,56,69,81,66,88,70,7
85,1393,Baresi,Unknown,2,30,Italy,176,70,141,74,98,86,87,80,79,85,98,98,7
85,1412,Rep,Unknown,10,22,Netherlands,178,73,141,83,55,68,86,88,87,82,72,80,6
85,1425,Keizer,Unknown,10,31,Netherlands,180,80,141,85,43,80,84,86,83,86,73,83,5
85,1460,Tostao,Unknown,12,23,Brazil,170,69,141,95,30,74,82,84,81,97,96,96,7
85,1466,Falcao,Unknown,9,28,Brazil,183,73,141,85,68,81,90,86,77,81,80,93,8
85,1474,Touré,Unknown,3,25,Cote d'Ivoire,183,76,40,66,78,90,87,86,84,70,72,75,4
85,1485,Poom,Unknown,0,34,Estonia,194,85,78,35,83,83,63,64,66,48,71,75,4
85,1505,Friedel,Unknown,0,35,United States,193,92,78,40,90,88,60,61,66,55,77,75,5
85,1534,Diouf,Unknown,11,25,Senegal,180,75,56,83,39,80,82,86,89,90,65,73,5
85,1621,Malbranque,Unknown,9,26,France,170,76,53,78,52,81,82,83,84,88,67,72,5
85,1634,Sinama Pongolle,Unknown,11,22,France,176,72,130,78,35,72,78,88,93,87,68,60,5
85,1659,Beasley,Unknown,8,24,United States,173,60,74,72,43,55,82,88,86,86,60,62,3
85,1792,Berbatov,Unknown,12,25,Bulgaria,188,79,53,86,43,85,82,86,83,87,75,77,7
85,1802,Defoe,Unknown,12,24,England,170,65,40,85,43,75,82,86,88,84,66,74,6
85,1960,T. M. Sylva,Unknown,0,31,Senegal,183,82,103,30,83,86,65,72,78,60,76,70,5
85,2132,B. Mendy,Unknown,4,25,France,180,77,36,72,54,81,83,94,86,80,65,70,4
85,2367,David Suazo,Unknown,12,26,Honduras,182,75,55,85,35,85,82,93,85,82,68,70,5
85,2489,Sereni,Unknown,0,31,Italy,186,80,80,30,87,83,62,66,72,55,78,74,6
85,2535,Alvarez,Unknown,6,26,Honduras,171,68,24,69,58,69,79,95,92,72,65,67,4
85,2541,Kaladze,Unknown,3,28,Georgia,186,76,61,66,88,85,86,77,80,76,80,81,5
85,2542,Serginho,Unknown,8,35,Brazil,181,75,61,77,55,70,77,93,86,85,66,64,4
85,2543,C. Seedorf,Unknown,9,30,Netherlands,176,76,84,83,64,90,90,77,79,91,73,93,7
85,2545,Maldini,Unknown,3,38,Italy,186,86,38,69,97,88,81,76,78,85,98,95,8
85,2899,Zoetebier,Unknown,0,36,Netherlands,186,87,136,30,84,86,65,66,66,60,70,70,5
85,2943,Gomes,Unknown,0,25,Brazil,191,82,78,30,83,84,65,69,72,48,75,72,5
85,3062,Douglas,Unknown,11,27,Netherlands,172,73,17,74,42,71,86,84,85,84,67,73,4
85,3486,Pirès,Unknown,9,33,France,187,80,100,84,58,81,82,83,81,88,74,80,7
85,3497,Nihat,Unknown,11,26,Turkey,175,71,100,84,52,75,86,86,89,84,72,83,6
85,3506,D'Alessandro,Unknown,9,25,Argentina,175,69,63,82,46,73,79,77,79,92,70,72,6
85,3592,Ismael,Unknown,3,31,France,191,81,63,59,85,90,80,74,70,73,71,75,5
85,3603,Salihamidzic,Unknown,8,29,Bosnia and Herzegovina,180,77,63,77,64,76,87,83,88,82,75,85,6
85,3612,Castillo,Unknown,11,22,Uruguay,170,61,28,74,42,63,73,88,91,80,66,65,5
85,3961,Dunn,Unknown,9,26,England,175,78,58,78,65,87,87,83,82,84,74,70,6
85,4277,Bordon,Unknown,3,30,Brazil,189,89,52,60,85,89,77,68,66,72,78,86,6
85,4286,Lovenkrands,Unknown,10,25,Denmark,181,70,52,76,43,72,80,89,89,82,68,67,4
85,4368,Jentzsch,Unknown,0,30,Germany,196,96,7,30,83,94,65,55,65,51,70,73,4
85,4474,Juninho P.,Unknown,9,33,Brazil,165,58,84,80,50,83,76,82,83,88,66,65,5
85,4482,Suker,Unknown,12,30,Croatia,183,78,141,90,40,80,84,78,83,90,85,80,6
85,4483,Di Stefano,Unknown,12,31,Spain,175,76,141,98,65,73,98,88,90,93,80,95,7
85,4489,Yeboah,Unknown,12,29,Ghana,180,88,141,86,29,90,80,82,85,82,80,74,5
85,4503,Butragueño,Unknown,12,27,Spain,170,68,141,94,40,71,83,82,87,85,85,85,7
85,4514,Bakero,Unknown,9,31,Spain,172,72,141,85,60,78,95,80,83,83,86,83,6
85,4541,Pelentier,Unknown,8,23,Brazil,173,64,141,75,55,66,85,85,85,82,68,65,5
84,116,Sorensen,Unknown,0,30,Denmark,196,89,19,35,86,88,65,63,70,54,68,65,5
84,150,James,Unknown,0,36,England,196,94,26,30,84,90,60,64,66,46,70,75,5
84,153,Carragher,Unknown,3,28,England,186,83,41,63,88,86,83,80,75,70,84,78,5
84,191,Vieira,Unknown,7,30,France,191,81,63,77,80,88,85,78,79,86,82,88,7
84,194,Zidane,Unknown,9,34,France,185,78,141,85,50,90,77,72,75,97,80,80,8
84,201,Chimbonda,Unknown,4,27,France,180,75,53,73,75,80,91,86,80,78,65,75,6
84,231,Nikopolidis,Unknown,0,35,Greece,187,88,28,30,84,85,65,65,66,50,77,78,6
84,254,Király,Unknown,0,30,Hungary,190,85,141,30,85,86,60,63,70,54,63,73,5
84,305,Pirlo,Unknown,5,27,Italy,177,68,38,81,63,74,84,75,74,95,65,91,8
84,312,Amelia,Unknown,0,24,Italy,187,78,81,30,85,85,60,69,72,46,72,72,5
84,322,F. Inzaghi,Unknown,12,33,Italy,181,74,61,90,35,75,84,84,88,78,82,69,6
84,352,Sneijder,Unknown,7,22,Netherlands,170,72,14,75,60,71,82,77,79,84,76,75,4
84,354,Van Persie,Unknown,11,23,Netherlands,183,71,40,76,37,81,82,85,84,88,68,62,4
84,369,Taylor,Unknown,0,35,Northern Ireland,193,90,58,30,85,85,65,67,62,44,74,76,5
84,401,Carew,Unknown,12,27,Norway,193,90,70,82,55,92,85,87,84,84,68,77,6
84,438,Ricardo,Unknown,0,30,Portugal,185,80,88,35,85,80,64,69,72,45,75,75,5
84,441,Miguel,Unknown,4,26,Portugal,179,78,89,76,66,79,86,88,84,75,68,70,3
84,449,Quim,Unknown,0,30,Portugal,184,76,70,40,83,81,64,75,70,56,78,65,5
84,604,Xabi Alonso,Unknown,5,24,Spain,183,77,61,72,75,81,89,75,75,85,70,93,7
84,608,Fernando Torres,Unknown,12,22,Spain,183,70,20,87,43,83,78,82,87,90,77,78,7
84,619,Luis García,Unknown,11,28,Spain,177,66,44,84,59,77,82,80,86,88,78,89,7
